,Algoritmo,Inicializacao na média,Dimensão,Desbalanceamento,Tamanho maior cluster,N,T0,kmax,Jmin,Jmin global,Tempo (em s)
128,FSA,0.0,5,1:10,2000.0,100000.0,0.5,8.0,5.70845953253266,4.787565019195367,85.73485398292542
129,FSA,0.0,5,1:20,2000.0,100000.0,0.5,8.0,5.371836031244046,4.8650810703943135,139.29173636436462
130,FSA,1.0,5,1:10,2000.0,100000.0,0.5,8.0,5.719328909189824,4.787565019195367,105.3520860671997
131,FSA,1.0,5,1:20,2000.0,100000.0,0.5,8.0,5.378948713159199,4.8650810703943135,127.35942554473877
132,FSA,0.0,5,1:10,2000.0,1000000.0,0.5,8.0,5.711379739335278,4.787565019195367,971.9206695556641
133,FSA,0.0,5,1:20,2000.0,1000000.0,0.5,8.0,29.74774889867218,4.8650810703943135,870.7622215747833
134,FSA,1.0,5,1:10,2000.0,1000000.0,0.5,8.0,5.7054714026350215,4.787565019195367,1016.043566942215
135,FSA,1.0,5,1:20,2000.0,1000000.0,0.5,8.0,5.363029810577533,4.8650810703943135,976.8779537677765
136,FSA,0.0,5,1:10,2000.0,100000.0,0.5,12.0,29.122150095079057,4.787565019195367,164.36274027824402
137,FSA,0.0,5,1:20,2000.0,100000.0,0.5,12.0,5.368675128690931,4.8650810703943135,193.81479048728943
138,FSA,1.0,5,1:10,2000.0,100000.0,0.5,12.0,5.703544205202981,4.787565019195367,198.79550695419312
139,FSA,1.0,5,1:20,2000.0,100000.0,0.5,12.0,5.361036578310856,4.8650810703943135,171.39177918434143
140,FSA,0.0,5,1:10,2000.0,1000000.0,0.5,12.0,5.694884834646634,4.787565019195367,1724.4173610210419
141,FSA,0.0,5,1:20,2000.0,1000000.0,0.5,12.0,5.366820268911203,4.8650810703943135,1342.3642671108246
142,FSA,1.0,5,1:10,2000.0,1000000.0,0.5,12.0,5.699869123967486,4.787565019195367,1535.1723129749298
143,FSA,1.0,5,1:20,2000.0,1000000.0,0.5,12.0,5.36183159032308,4.8650810703943135,1474.0644254684448
144,FSA,0.0,5,1:10,2000.0,100000.0,0.5,16.0,5.69682128274267,4.787565019195367,205.00955271720886
145,FSA,0.0,5,1:20,2000.0,100000.0,0.5,16.0,29.74729673375431,4.8650810703943135,216.766042470932
146,FSA,1.0,5,1:10,2000.0,100000.0,0.5,16.0,5.696898731117185,4.787565019195367,163.32193160057068
147,FSA,1.0,5,1:20,2000.0,100000.0,0.5,16.0,5.363675434407339,4.8650810703943135,226.92239570617676
148,FSA,0.0,5,1:10,2000.0,1000000.0,0.5,16.0,5.6939243457763835,4.787565019195367,2139.940102338791
149,FSA,0.0,5,1:20,2000.0,1000000.0,0.5,16.0,29.747245875980546,4.8650810703943135,1417.8405108451843
150,FSA,1.0,5,1:10,2000.0,1000000.0,0.5,16.0,5.695552159271216,4.787565019195367,2107.7188827991486
151,FSA,1.0,5,1:20,2000.0,1000000.0,0.5,16.0,5.3596885767022115,4.8650810703943135,1409.1920511722565
152,FSA,0.0,5,1:10,2000.0,100000.0,0.1,8.0,29.12161149766682,4.787565019195367,119.81403088569641
153,FSA,0.0,5,1:20,2000.0,100000.0,0.1,8.0,5.358346939215048,4.8650810703943135,81.50437188148499
154,FSA,1.0,5,1:10,2000.0,100000.0,0.1,8.0,4.79709864186063,4.787565019195367,109.65208601951599
155,FSA,1.0,5,1:20,2000.0,100000.0,0.1,8.0,5.358435138891434,4.8650810703943135,110.17108726501465
156,FSA,0.0,5,1:10,2000.0,1000000.0,0.1,8.0,29.121405046858047,4.787565019195367,876.2033944129944
157,FSA,0.0,5,1:20,2000.0,1000000.0,0.1,8.0,5.356809897722694,4.8650810703943135,946.8032567501068
158,FSA,1.0,5,1:10,2000.0,1000000.0,0.1,8.0,5.691770447013621,4.787565019195367,988.1957685947418
159,FSA,1.0,5,1:20,2000.0,1000000.0,0.1,8.0,5.019136079288542,4.8650810703943135,939.2461252212524
160,FSA,0.0,5,1:10,2000.0,100000.0,0.1,12.0,5.046589833773439,4.787565019195367,175.8771448135376
161,FSA,0.0,5,1:20,2000.0,100000.0,0.1,12.0,5.35541908718624,4.8650810703943135,197.29020428657532
162,FSA,1.0,5,1:10,2000.0,100000.0,0.1,12.0,5.691105603219438,4.787565019195367,159.69066214561462
163,FSA,1.0,5,1:20,2000.0,100000.0,0.1,12.0,5.356972705864632,4.8650810703943135,166.33471298217773
164,FSA,0.0,5,1:10,2000.0,1000000.0,0.1,12.0,5.691015972194513,4.787565019195367,1596.3770232200623
165,FSA,0.0,5,1:20,2000.0,1000000.0,0.1,12.0,29.74724440133154,4.8650810703943135,1057.6923654079437
166,FSA,1.0,5,1:10,2000.0,1000000.0,0.1,12.0,5.6901479102261225,4.787565019195367,1562.6290018558502
167,FSA,1.0,5,1:20,2000.0,1000000.0,0.1,12.0,5.3565016986345215,4.8650810703943135,1222.7259469032288
168,FSA,0.0,5,1:10,2000.0,100000.0,0.1,16.0,5.690825128621099,4.787565019195367,253.1387963294983
169,FSA,0.0,5,1:20,2000.0,100000.0,0.1,16.0,5.3556103395549375,4.8650810703943135,143.56773781776428
170,FSA,1.0,5,1:10,2000.0,100000.0,0.1,16.0,4.790095554463107,4.787565019195367,268.3807783126831
171,FSA,1.0,5,1:20,2000.0,100000.0,0.1,16.0,5.00947474672836,4.8650810703943135,180.92089080810547
172,FSA,0.0,5,1:10,2000.0,1000000.0,0.1,16.0,5.6902632324445035,4.787565019195367,2251.276344537735
173,FSA,0.0,5,1:20,2000.0,1000000.0,0.1,16.0,29.747232359348608,4.8650810703943135,1348.4532217979431
174,FSA,1.0,5,1:10,2000.0,1000000.0,0.1,16.0,5.690193861758601,4.787565019195367,2366.5412373542786
175,FSA,1.0,5,1:20,2000.0,1000000.0,0.1,16.0,5.295420969196822,4.8650810703943135,1356.7011044025421
176,FSA,0.0,10,1:10,2000.0,100000.0,0.5,8.0,58.02622457127655,9.55315955907877,164.5892424583435
177,FSA,0.0,10,1:20,2000.0,100000.0,0.5,8.0,10.829712869334934,9.74061900587271,168.49230480194092
178,FSA,1.0,10,1:10,2000.0,100000.0,0.5,8.0,11.451071260308723,9.55315955907877,151.14171314239502
179,FSA,1.0,10,1:20,2000.0,100000.0,0.5,8.0,10.793141997936818,9.74061900587271,169.9033465385437
180,FSA,0.0,10,1:10,2000.0,1000000.0,0.5,8.0,11.393992156465023,9.55315955907877,1780.3671402931213
181,FSA,0.0,10,1:20,2000.0,1000000.0,0.5,8.0,59.525352845253465,9.74061900587271,1505.1922073364258
182,FSA,1.0,10,1:10,2000.0,1000000.0,0.5,8.0,11.426825611254825,9.55315955907877,1580.1710805892944
183,FSA,1.0,10,1:20,2000.0,1000000.0,0.5,8.0,10.804595833262685,9.74061900587271,1925.6471149921417
184,FSA,0.0,10,1:10,2000.0,100000.0,0.5,12.0,11.39027999075706,9.55315955907877,303.3794617652893
185,FSA,0.0,10,1:20,2000.0,100000.0,0.5,12.0,10.766949164681241,9.74061900587271,292.6688323020935
186,FSA,1.0,10,1:10,2000.0,100000.0,0.5,12.0,11.380617189863385,9.55315955907877,314.22443175315857
187,FSA,1.0,10,1:20,2000.0,100000.0,0.5,12.0,10.759251079137982,9.74061900587271,269.05149602890015
188,FSA,0.0,10,1:10,2000.0,1000000.0,0.5,12.0,58.00786793332608,9.55315955907877,2901.5665583610535
189,FSA,0.0,10,1:20,2000.0,1000000.0,0.5,12.0,59.515864041478494,9.74061900587271,1737.125507593155
190,FSA,1.0,10,1:10,2000.0,1000000.0,0.5,12.0,11.384154528527027,9.55315955907877,2506.562379837036
191,FSA,1.0,10,1:20,2000.0,1000000.0,0.5,12.0,10.75809083169001,9.74061900587271,1742.9346981048584
192,FSA,0.0,10,1:10,2000.0,100000.0,0.5,16.0,58.00833372122319,9.55315955907877,381.98003792762756
193,FSA,0.0,10,1:20,2000.0,100000.0,0.5,16.0,10.76826058608328,9.74061900587271,388.38204622268677
194,FSA,1.0,10,1:10,2000.0,100000.0,0.5,16.0,11.368447841952793,9.55315955907877,405.57555627822876
195,FSA,1.0,10,1:20,2000.0,100000.0,0.5,16.0,10.754284747975385,9.74061900587271,362.0671718120575
196,FSA,0.0,10,1:10,2000.0,1000000.0,0.5,16.0,11.357292557030979,9.55315955907877,3439.138653278351
197,FSA,0.0,10,1:20,2000.0,1000000.0,0.5,16.0,59.51571957463368,9.74061900587271,2233.969323158264
198,FSA,1.0,10,1:10,2000.0,1000000.0,0.5,16.0,11.365263414196649,9.55315955907877,3195.6665856838226
199,FSA,1.0,10,1:20,2000.0,1000000.0,0.5,16.0,10.719911697166573,9.74061900587271,2252.476922750473
200,FSA,0.0,10,1:10,2000.0,100000.0,0.1,8.0,11.33901776253233,9.55315955907877,188.83732652664185
201,FSA,0.0,10,1:20,2000.0,100000.0,0.1,8.0,59.51376659874657,9.74061900587271,201.78557205200195
202,FSA,1.0,10,1:10,2000.0,100000.0,0.1,8.0,9.610411351651132,9.55315955907877,180.0910062789917
203,FSA,1.0,10,1:20,2000.0,100000.0,0.1,8.0,10.712311350662121,9.74061900587271,168.6586012840271
204,FSA,0.0,10,1:10,2000.0,1000000.0,0.1,8.0,11.32770279782873,9.55315955907877,1947.9738891124725
205,FSA,0.0,10,1:20,2000.0,1000000.0,0.1,8.0,10.70910571186196,9.74061900587271,1328.4636454582214
206,FSA,1.0,10,1:10,2000.0,1000000.0,0.1,8.0,11.328713606101378,9.55315955907877,1484.490647315979
207,FSA,1.0,10,1:20,2000.0,1000000.0,0.1,8.0,10.502213400944415,9.74061900587271,1656.204113960266
208,FSA,0.0,10,1:10,2000.0,100000.0,0.1,12.0,57.99994898178095,9.55315955907877,223.79625797271729
209,FSA,0.0,10,1:20,2000.0,100000.0,0.1,12.0,10.709813857056423,9.74061900587271,285.87622570991516
210,FSA,1.0,10,1:10,2000.0,100000.0,0.1,12.0,11.324484657326087,9.55315955907877,265.265828371048
211,FSA,1.0,10,1:20,2000.0,100000.0,0.1,12.0,10.701591018945305,9.74061900587271,284.34507179260254
212,FSA,0.0,10,1:10,2000.0,1000000.0,0.1,12.0,11.324931000170732,9.55315955907877,2245.106332063675
213,FSA,0.0,10,1:20,2000.0,1000000.0,0.1,12.0,59.51075723207332,9.74061900587271,1722.2051792144775
214,FSA,1.0,10,1:10,2000.0,1000000.0,0.1,12.0,11.323189559480133,9.55315955907877,2477.9448986053467
215,FSA,1.0,10,1:20,2000.0,1000000.0,0.1,12.0,10.7007530639329,9.74061900587271,1729.2914552688599
216,FSA,0.0,10,1:10,2000.0,100000.0,0.1,16.0,58.00027844430484,9.55315955907877,360.86271572113037
217,FSA,0.0,10,1:20,2000.0,100000.0,0.1,16.0,59.51124592750997,9.74061900587271,337.27696561813354
218,FSA,1.0,10,1:10,2000.0,100000.0,0.1,16.0,9.580898786707706,9.55315955907877,373.5770573616028
219,FSA,1.0,10,1:20,2000.0,100000.0,0.1,16.0,10.701613194883416,9.74061900587271,414.13197922706604
220,FSA,0.0,10,1:10,2000.0,1000000.0,0.1,16.0,11.322071935731383,9.55315955907877,2369.9183900356293
221,FSA,0.0,10,1:20,2000.0,1000000.0,0.1,16.0,10.6987303802455,9.74061900587271,2188.083306312561
222,FSA,1.0,10,1:10,2000.0,1000000.0,0.1,16.0,11.322126279732576,9.55315955907877,2360.1794242858887
223,FSA,1.0,10,1:20,2000.0,1000000.0,0.1,16.0,10.699720316852002,9.74061900587271,2184.4024159908295
224,FSA,0.0,15,1:10,2000.0,100000.0,0.1,12.0,16.30372089521073,14.77115005636191,258.53312826156616
225,FSA,0.0,15,1:20,2000.0,100000.0,0.1,12.0,73.39919559963073,14.85902714419568,254.19284057617188
226,FSA,1.0,15,1:10,2000.0,100000.0,0.1,12.0,16.29587925645328,14.77115005636191,258.09609031677246
227,FSA,1.0,15,1:20,2000.0,100000.0,0.1,12.0,15.682619305029696,14.85902714419568,255.1139051914215
228,FSA,0.0,15,1:10,2000.0,1000000.0,0.1,12.0,72.07275551791825,14.77115005636191,2504.976486682892
229,FSA,0.0,15,1:20,2000.0,1000000.0,0.1,12.0,73.39681755489019,14.85902714419568,2443.9845542907715
230,FSA,1.0,15,1:10,2000.0,1000000.0,0.1,12.0,16.292876115552872,14.77115005636191,2510.9249789714813
231,FSA,1.0,15,1:20,2000.0,1000000.0,0.1,12.0,15.668842673564185,14.85902714419568,2445.035984516144
232,FSA,0.0,15,1:10,2000.0,100000.0,0.1,16.0,72.07215935839974,14.77115005636191,344.2153534889221
233,FSA,0.0,15,1:20,2000.0,100000.0,0.1,16.0,15.664380269545749,14.85902714419568,337.3517189025879
234,FSA,1.0,15,1:10,2000.0,100000.0,0.1,16.0,16.288514920935654,14.77115005636191,344.87647318840027
235,FSA,1.0,15,1:20,2000.0,100000.0,0.1,16.0,15.668429192631946,14.85902714419568,339.60145354270935
236,FSA,0.0,15,1:10,2000.0,1000000.0,0.1,16.0,16.28412458684551,14.77115005636191,3357.3905997276306
237,FSA,0.0,15,1:20,2000.0,1000000.0,0.1,16.0,73.39370003019233,14.85902714419568,3278.2894451618195
238,FSA,1.0,15,1:10,2000.0,1000000.0,0.1,16.0,16.281607697174785,14.77115005636191,3358.1465344429016
239,FSA,1.0,15,1:20,2000.0,1000000.0,0.1,16.0,15.663280911566359,14.85902714419568,3254.5590744018555
240,FSA,0.0,20,1:10,2000.0,100000.0,0.1,12.0,95.62977280176418,19.60304960698555,340.3098464012146
241,FSA,0.0,20,1:20,2000.0,100000.0,0.1,12.0,97.52097048545495,19.758496031901153,332.9852840900421
242,FSA,1.0,20,1:10,2000.0,100000.0,0.1,12.0,21.61326720828354,19.60304960698555,337.6403684616089
243,FSA,1.0,20,1:20,2000.0,100000.0,0.1,12.0,20.83284971770731,19.758496031901153,332.17826676368713
244,FSA,0.0,20,1:10,2000.0,1000000.0,0.1,12.0,95.62373069864918,19.60304960698555,3279.724217891693
245,FSA,0.0,20,1:20,2000.0,1000000.0,0.1,12.0,20.829796907080254,19.758496031901153,3194.443698167801
246,FSA,1.0,20,1:10,2000.0,1000000.0,0.1,12.0,21.602094801896957,19.60304960698555,3274.9283978939056
247,FSA,1.0,20,1:20,2000.0,1000000.0,0.1,12.0,20.82869423731726,19.758496031901153,3198.5237662792206
248,FSA,0.0,20,1:10,2000.0,100000.0,0.1,16.0,95.62244394856904,19.60304960698555,455.22915506362915
249,FSA,0.0,20,1:20,2000.0,100000.0,0.1,16.0,20.826415624202284,19.758496031901153,435.72782278060913
250,FSA,1.0,20,1:10,2000.0,100000.0,0.1,16.0,21.601690415841485,19.60304960698555,453.3970305919647
251,FSA,1.0,20,1:20,2000.0,100000.0,0.1,16.0,20.820598163824602,19.758496031901153,433.75422048568726
252,FSA,0.0,20,1:10,2000.0,1000000.0,0.1,16.0,95.61772790785889,19.60304960698555,4379.345275640488
253,FSA,0.0,20,1:20,2000.0,1000000.0,0.1,16.0,97.51281818578151,19.758496031901153,4162.024268627167
254,FSA,1.0,20,1:10,2000.0,1000000.0,0.1,16.0,21.53261889237284,19.60304960698555,4380.436017751694
255,FSA,1.0,20,1:20,2000.0,1000000.0,0.1,16.0,20.813716483431957,19.758496031901153,4173.1241800785065
